email,label
"Hi Michael, can we reschedule our call to Tuesday at 9:00 AM?",ham
Could you please review the report before our Thursday meeting?,ham
ALERT: Unusual login detected. Click claim-prize.co to secure your account NOW.,spam
URGENT: Your account will be suspended. Verify immediately at claim-prize.co,spam
CONGRATULATIONS! YOU QUALIFY FOR A $1000 GOVERNMENT GRANT. APPLY NOW.,spam
Quick reminder: the Budget Analysis deadline is next Friday. Please submit your work.,ham
FREE offer! Get gift card absolutely free. Limited time offer. Act now!,spam
"Hi, I'm reaching out regarding the Software Engineer position at our company.",ham
Increase your income by $25000 monthly with our proven system.,spam
Reminder: Your subscription renews on Friday. No action needed if you wish to continue.,ham
"Hi David, just wanted to follow up on our meeting scheduled for Wednesday.",ham
ALERT: Unusual login detected. Click verify-now.net to secure your account NOW.,spam
Your PayPal account is limited. Confirm your identity at secure-login.xyz immediately.,spam
The team lunch is on Thursday at 2:00 PM. Hope to see everyone there!,ham
Work from home and earn $50000/week. No skills needed. Start today!,spam
Make $10000 from home every day! No experience needed. 100% guaranteed.,spam
Congratulations! You qualify for a $10000 government grant. Apply now.,spam
"Happy birthday, Emma! Hope you have a wonderful day.",ham
Your appointment is confirmed for Wednesday at 10:30 AM with Dr. Michael.,ham
Your computer has 5234 viruses! Download our free scanner immediately.,spam
ALERT: UNUSUAL LOGIN DETECTED. CLICK SECURE-LOGIN.XYZ TO SECURE YOUR ACCOUNT NOW.,spam
Your appointment is confirmed for Friday at 9:00 AM with Dr. Lisa.,ham
The Marketing Campaign is on track. We completed 389% of the milestones this week.,ham
Investment opportunity: 304% returns guaranteed. Join 25000 investors.,spam
FREE offer! Get vacation package absolutely free. Limited time offer. Act now!,spam
"Dear winner, your email has won the PowerBall lottery. Send details to claim.",spam
Your appointment is confirmed for Thursday at 9:00 AM with Dr. David.,ham
Investment opportunity: 319% returns guaranteed. Join 50000 investors.,spam
Your computer has 7174 viruses! Download our free scanner immediately.,spam
"Dear winner, your email has won the PowerBall lottery. Send details to claim.",spam
YOU HAVE BEEN SELECTED FOR A SPECIAL CHASE REWARD. CLAIM YOUR $10000 TODAY.,spam
"Hi John, your order #6593 has been processed successfully.",ham
Could you please review the report before our Wednesday meeting?,ham
Quick reminder: the Marketing Campaign deadline is next Monday. Please submit your work.,ham
FREE offer! Get vacation package absolutely free. Limited time offer. Act now!,spam
URGENT: Your account will be suspended. Verify immediately at secure-login.xyz,spam
URGENT: Your account will be suspended. Verify immediately at claim-prize.co,spam
Increase your income by $50000 monthly with our proven system.,spam
Buy iPhone at 90% discount! Today only. Order now for free shipping!,spam
Please find attached the report for Q4 Review. Let me know your thoughts.,ham
The quarterly results are in. Please check the attached contract for details.,ham
Hot singles in your area are waiting. Click here to meet them tonight!,spam
Please find attached the report for Website Redesign. Let me know your thoughts.,ham
Your computer has 9993 viruses! Download our free scanner immediately.,spam
The quarterly results are in. Please check the attached proposal for details.,ham
Hot singles in your area are waiting. Click here to meet them tonight!,spam
Hot singles in your area are waiting. Click here to meet them tonight!,spam
Buy gift card at 90% discount! Today only. Order now for free shipping!,spam
FREE iPhone 16! You are the 1313th visitor. Claim your prize now.,spam
URGENT: YOUR ACCOUNT WILL BE SUSPENDED. VERIFY IMMEDIATELY AT CLAIM-PRIZE.CO,spam
Thanks for your email. I'll review the contract and get back to you by Thursday.,ham
"Happy birthday, Lisa! Hope you have a wonderful day.",ham
CONGRATULATIONS! YOU QUALIFY FOR A $1000 GOVERNMENT GRANT. APPLY NOW.,spam
